Player,Elo,Hard Elo,Clay Elo,Grass Elo
Valeria Savinykh,1368.6,1365.2,1263.1,1327.6
Marina Stakusic,1366.6,1346.0,1298.3,1358.3
Aldila Sutjiadi,1366.4,1347.2,1296.9,1361.3
Isabella Shinikova,1364.9,1393.2,1276.4,1295.3
Kyoka Okamura,1364.9,1363.4,1218.2,1482.4
Solana Sierra,1364.0,1421.7,1279.6,1357.0
Ekaterina Reyngold,1362.4,1346.2,1291.8,1356.2
Emina Bektas,1358.5,1342.3,1220.7,1392.7
Nefisa Berberovic,1349.1,1383.2,1346.0,1424.5
Miriam Bianca Bulgaru,1346.6,1288.3,1308.3,1348.3
Hina Inoue,1342.8,1313.5,1286.4,1346.4
Lena Rueffer,1342.2,1297.4,1301.5,1298.0
Gabriela Lee,1341.5,1265.3,1362.5,1276.4
Jessica Bouzas Maneiro,1340.3,1283.1,1332.3,1345.2
Sarah Beth Grey,1338.3,1337.0,1309.2,1261.9
Mariam Bolkvadze,1337.9,1335.3,1245.3,1270.7
Camilla Rosatello,1333.5,1244.9,1310.2,1341.8
Lina Glushko,1332.7,1314.5,1377.6,1416.4
Gabriela Ce,1332.5,1284.5,1290.1,1313.5
Martina Di Giuseppe,1332.0,1268.9,1300.0,1293.3
Guiomar Maristany Zuleta De Reales,1331.8,1301.7,1296.6,1340.9
Katharina Gerlach,1331.7,1210.8,1320.7,1280.2
Daniela Vismane,1331.4,1323.9,1312.6,1407.8
Maria Mateas,1326.7,1283.5,1339.6,1413.3
Emeline Dartron,1325.6,1331.5,1189.4,1337.8
Eri Hozumi,1322.1,1286.6,1316.5,1380.9
Kaylah Mcphee,1320.6,1293.6,1385.7,1287.5
Diletta Cherubini,1320.3,1275.2,1304.5,1335.2
Dea Herdzelas,1319.8,1303.0,1297.8,1358.0
Ulrikke Eikeri,1318.7,1267.8,1316.5,1320.4
Joanna Garland,1318.3,1297.5,1274.4,1334.2
Dalayna Hewitt,1317.9,1309.7,1257.8,1334.0
Tessah Andrianjafitrimo,1317.9,1277.8,1290.9,1317.5
Rutuja Bhosale,1315.2,1304.1,1324.0,1407.6
Maria Timofeeva,1311.7,1311.2,1214.8,1330.8
Yana Morderger,1306.9,1282.8,1262.8,1328.4
Rosa Vicens Mas,1304.9,1300.6,1264.1,1266.7
Erica Oosterhout,1297.8,1233.9,1309.7,1323.9
Sinja Kraus,1296.9,1256.4,1337.5,1398.5
Maegan Manasse,1295.0,1230.1,1321.9,1322.5
Tena Lukas,1294.5,1222.5,1280.1,1298.4
Ena Shibahara,1293.6,1280.5,1268.8,1321.8
Anna Kubareva,1290.8,1277.1,1231.1,1320.4
Conny Perrin,1289.1,1262.0,1269.6,1351.2
Federica Di Sarra,1287.6,1264.2,1270.5,1295.9
Lisa Pigato,1286.7,1250.4,1250.6,1287.8
Maria Fernanda Herazo Gonzalez,1286.5,1323.5,1237.7,1393.3
Oana Georgeta Simion,1284.3,1257.2,1263.2,1317.2
Ekaterina Makarova,1282.1,1252.4,1283.1,1291.6
Daniela Seguel,1281.6,1314.0,1247.7,1267.3
Stephanie Wagner,1277.1,1254.9,1274.9,1283.8
Amina Anshba,1273.4,1189.8,1261.5,1311.7
Himeno Sakatsume,1270.5,1235.4,1323.4,1310.2
Miriam Kolodziejova,1269.0,1213.4,1264.0,1275.1
Chihiro Muramatsu,1267.7,1266.3,1240.7,1254.5
Alice Rame,1265.7,1217.4,1239.9,1307.9
Sebastianna Scilipoti,1264.6,1215.9,1266.1,1307.3
Ivonne Cavalle Reimers,1264.3,1260.6,1244.5,1245.7
Viktoria Morvayova,1261.4,1233.2,1245.7,1305.7
Lucie Nguyen Tan,1259.8,1253.2,1243.7,1304.9
Ines Ibbou,1257.3,1235.7,1317.8,1378.7
Ana Sofia Sanchez,1257.0,1281.8,1178.0,1303.5
Berfu Cengiz,1256.6,1221.9,1208.5,1303.3
Anna Danilina,1250.8,1197.1,1262.3,1256.2
Hanna Chang,1249.6,1238.1,1208.1,1296.1
Sofia Nami Samavati,1245.5,1310.4,1275.0,1372.8
Jana Kolodynska,1244.7,1228.3,1241.4,1297.4
Pemra Ozgen,1242.8,1209.9,1236.0,1316.6
Aneta Laboutkova,1236.5,1214.5,1226.6,1293.3
Marine Partaud,1235.1,1200.4,1200.2,1292.5
Hiroko Kuwata,1234.5,1225.4,1164.9,1178.7
Andreea Prisacariu,1231.5,1225.8,1201.5,1290.8
Eden Silva,1230.5,1162.1,1188.8,1247.4
Michaela Bayerlova,1230.5,1170.9,1258.8,1290.2
Lavinia Tanasie,1229.9,1221.3,1218.1,1289.9
Diana Marcinkevica,1228.8,1186.1,1211.0,1321.5
Elena Malygina,1225.7,1267.8,1219.8,1362.8
Margaux Rouvroy,1224.8,1169.8,1235.8,1287.4
Lucia Cortez Llorca,1222.2,1169.9,1215.8,1286.1
Ekaterina Kazionova,1216.9,1220.8,1149.7,1264.2
Peangtarn Plipuech,1198.7,1188.7,1184.7,1249.4
Sara Cakarevic,1195.6,1192.3,1174.2,1272.8
Jessie Aney,1194.1,1192.8,1177.1,1272.1
Ioana Loredana Rosca,1190.5,1200.4,1147.3,1270.3
Anna Siskova,1177.5,1186.4,1168.6,1221.9
Leonie Kung,1168.8,1190.5,1120.1,1227.3
Olivia Tjandramulia,1162.9,1147.2,1112.5,1244.5
Oana Gavrila,1162.4,1238.4,1100.5,1256.2
Freya Christie,1155.6,1171.7,1192.8,1090.1
Justina Mikulskyte,1154.0,1149.6,1213.6,1250.6
Ekaterina Yashina,1138.0,1152.2,1061.5,1239.5
Arlinda Rushiti,1126.9,1137.7,1123.5,1238.4
Nagi Hanatani,1112.2,1085.1,1147.7,1231.1
Tayisiya Morderger,1110.5,1158.1,1067.1,1230.2
1299,,,,
1295.7,,,,
1295.1,,,,
1295,,,,
1290.9,,,,
1282.3,,,,
1281.4,,,,
1279.4,,,,
1278,,,,
1275.7,,,,
1275.4,,,,
1272.8,,,,
1270,,,,
1268.2,,,,
1266.5,,,,
1262.1,,,,
1257.5,,,,
1254.9,,,,
1251.7,,,,
1248.2,,,,
1245.6,,,,
1242.4,,,,
1238.1,,,,
1237.3,,,,
1237.1,,,,
1236.1,,,,
1224.5,,,,
1206.1,,,,
1196.6,,,,
1193.2,,,,
1158.8,,,,
